CustomerID,CustomerName,Postcode,JoinDate,LastVisitDate,TotalVisits,AvgBasketValue,TotalSpend,CategoryCount,TopCategory,SecondCategory,ThirdCategory,DaysSinceLastVisit,RetentionScore,Segment,OnlineOrders,InStoreVisits,PromotionRedemptions,LoyaltyPoints,PrevMonthSpend,SpendChange,NationalAvgBasket,NationalAvgVisits
CUST-00001,Aurora Roberts,2224,2024-12-10,2026-02-22,31,35.79,1109.49,4,First Aid,Eye Care,Oral Care,7,50,Regular Shoppers,4,27,4,1118,59.17,-19.9,45.15,33
CUST-00002,Melody Kelly,2216,2025-10-04,2026-02-19,32,31.05,993.60,3,Allergy & Sinus,Vitamins & Supplements,Personal Care,10,74,Regular Shoppers,0,32,14,1184,118.65,-28.0,45.35,21
CUST-00003,Ryan Carroll,2176,2024-08-24,2026-02-19,52,52.14,2711.28,8,Prescription,Baby & Child,OTC Medicines,10,63,Regular Shoppers,2,50,5,2452,108.91,-15.3,46.08,26
CUST-00004,Joseph Hayes,2150,2023-11-26,2025-12-19,12,59.46,713.52,3,Beauty & Skincare,Sun Care,Weight Management,72,14,At-Risk,0,12,5,789,196.49,-25.0,45.80,18
CUST-00005,Ariana Nolan,2176,2026-01-03,2026-02-19,5,52.10,260.50,2,Allergy & Sinus,Oral Care,,10,41,New Customers,2,3,2,269,132.40,-27.8,44.50,20
CUST-00006,Aaliyah Scott,2160,2026-01-10,2026-02-01,8,41.64,333.12,3,Weight Management,Oral Care,Beauty & Skincare,28,61,New Customers,1,7,2,279,108.17,14.9,32.36,29
CUST-00007,Delilah Hall,2120,2025-03-23,2026-02-11,51,52.53,2679.03,4,Baby & Child,Personal Care,Health Devices,18,68,Regular Shoppers,3,48,15,2449,137.11,-5.8,32.24,34
CUST-00008,Caroline Perez,2060,2025-04-27,2026-01-19,17,32.77,557.09,4,OTC Medicines,Baby & Child,Digestive Health,41,40,Occasional Visitors,5,12,3,596,137.38,0.5,39.59,23
CUST-00009,Evelyn O'Brien,2216,2024-04-20,2026-02-23,42,42.43,1782.06,5,Digestive Health,OTC Medicines,Fragrance,6,77,Regular Shoppers,3,39,8,1627,93.81,29.8,39.86,28
CUST-00010,Anna Quinn,2050,2025-10-06,2026-01-29,21,20.13,422.73,2,Beauty & Skincare,Weight Management,,31,41,Occasional Visitors,1,20,1,613,59.05,29.6,38.62,34
CUST-00011,Adeline White,2042,2025-06-08,2026-02-23,57,128.17,7305.69,8,Fragrance,Health Devices,Eye Care,6,87,Power Shoppers,2,55,7,9703,529.56,1.6,47.06,27
CUST-00012,Naomi O'Brien,2216,2025-12-11,2026-02-04,8,24.13,193.04,1,Oral Care,,,25,43,New Customers,2,6,7,265,116.83,23.6,44.77,23
CUST-00013,Riley Wilson,2100,2025-11-23,2026-01-27,20,33.65,673.00,1,Sun Care,,,33,48,Occasional Visitors,4,16,13,998,135.51,-27.4,47.02,22
